,url,base,title,description,sku,color_valuecolor_value,price,color
0,tienda1cotton-flower-candle-and-home-fragrance-box.html,Cotton Flower Candle and Home Fragrance box,Description,,,,€100.00,
1,tienda1babies-sleepsuit-milk-white.html,Babies' sleepsuit milk white,Description & Composition,"
                            This white cotton babies' sleepsuit is perfect for lounging around the house in cold weather. It is embellished with a topstitched cherry on the front, and has snap fastenings at the back and between the legs for easy dressing.                        ",PEBDA2375CO, ,€125.00,
2,tienda1babies-playsuit-heathered-gray.html,Babies' playsuit Heathered gray,Description & Composition,"
                            This cashmere babies' playsuit is as soft for baby as it is delightful for the carer. We love the elegant sobriety of this light gray heathered piece, with its small pocket at the front and buttons at the back.                        ",PEBDA2322CO, ,€210.00,
3,tienda1lot-of-3-bodysuits-ecru.html,Lot of 3 bodysuits Ecru,Description & Composition,"
                            There's nothing like these bodysuits to keep a newborn warm. The ecru organic cotton material of this lot of 3 bodysuits wraps the skin with softness. Team them up with crocheted pants and booties.                        ",PEBIO3BODYS, ,€95.00,
4,tienda1babies-mittens-milk-white.html,Babies' mittens milk white,Description & Composition,"
                            These adorable cashmere babies' mittens with ribbed cuffs will keep baby's hands nice and warm. We like the retro side of these heathered gray accessories, which are connected by a string.                        ",PEBDA2660MO, ,€65.00,
5,tienda1babies-two-piece-pajama-set-gold.html,Babies' two-piece pajama set gold,Description & Composition,"
                            This babies' two-piece pajama set will keep your little one stylish day and night. The long-sleeved top and pants with an elasticated waistband are both made from white cotton material decorated with little golden cherries, for a poetic look.                        ",PEBTI2318EN, ,€65.00,
6,tienda1cashmere-baby-beanie-hat-milk-white-with-pompoms.html,Cashmere Baby beanie hat milk white with pompoms,Description & Composition,"
                            This cashmere baby beanie hat keeps your little one's ears warm in the most adorable way. Decorated with pompoms on the top and around the neck, this milk white accessory has a lovely Peruvian style.                        ",PEBDA2737BO, ,€75.00,
7,tienda1lot-of-7-bodysuits-white.html,Lot of 7 bodysuits White,Description & Composition,"
                            Plan an outfit for each day of the week with this lot of 7 bodysuits. Each of them is distinguished by embroidery of different colors. These surplice models decorated with topstitching are suitable for newborns onwards.                        ",PESSMLBODYS, ,€155.00,
8,tienda1babies-beanie-hat-heathered-gray.html,Babies' beanie hat Heathered gray,Description & Composition,"
                            This cashmere babies' beanie hat keeps your little one's ears warm in the most adorable way. Decorated with pompoms on the top and around the neck, this light gray heathered accessory has a lovely Peruvian style.                        ",PEBDA2737BO, ,€75.00,
9,tienda1babies-mittens-heathered-gray.html,Babies' mittens heathered gray,Description & Composition,"
                            These adorable cashmere babies' mittens with ribbed cuffs will keep baby's hands nice and warm. We like the retro side of these heathered gray accessories, which are connected by a string.                        ",PEBDA2660MO, ,€65.00,
10,tienda1babies-balaclava-milk-white.html,Babies' balaclava milk white,Description & Composition,"
                            With this milk white baby balaclava, the fashions of the 90s make a remarkable comeback. Gently enveloping the entire head and neck, this cashmere accessory keeps baby warm and cozy when there's a chill in the air.                        ",PEBDA2025BO, ,€70.00,
11,tienda1babies-balaclava-heathered-gray.html,Babies' balaclava Heathered gray,Description & Composition,"
                            With this light heathered gray babies' balaclava, the fashions of the 90s make a remarkable comeback. Gently enveloping the entire head and neck, this cashmere accessory keeps baby warm and cozy when there's a chill in the air.                        ",PEBDA2025BO, ,€70.00,
12,tienda1academy-shorts-milk-white.html,Academy shorts Milk white,Description & Composition,"
                            These Academy shorts are styled in 100% white linen. Their clean lines giving a subtly retro look. They have a zip and button fastening, two vertical welt pockets on the front and a welt and button pocket at the back. Combine them with a printed cotton bodysuit and a bucket hat.                        ",PEACADEMY, ,€80.00,
13,tienda1cashmere-baby-booties-milk-white.html,Cashmere Baby booties milk white,Description & Composition,"
                            These little white cashmere baby booties are both comfortable and very delicate. Knitted in garter stitch, they are adorned with a cute bow at the top and a ribbed cuff that brings an extra daintiness to the model.                        ",PEBDA2118CH, ,€75.00,
14,tienda1bloomer-aki-4.html,Baby Exclusive Liberty Fabric Bloomers petal pink,Description & Composition,"
                            Pretty pastel flowers animate the exclusive Liberty fabric of these Aki bloomers for baby. The organic cotton is very soft on little ones' delicate skin.
",S01ZBEWO0201, ,€40.00,
15,tienda1salopette-en-tissu-liberty-exclusif-bebe-vert-de-gris.html,Baby Overalls in Exclusive Liberty Fabric verdigris,Description & Composition,"
                            The Ever overalls, in 100% organic cotton, are as gentle on baby's skin as they are on the environment. They are made from a lovely exclusive Liberty fabric. 
",S01ZPAWO0602, ,€110.00,
16,tienda1baby-cashmere-set-sea-blue.html,Baby Cashmere Set sea blue,Description & Composition,"
                            This cashmere set for baby charms little ones with its very soft material. The solid-colored top fastens with buttons on the left side.
",S01ZSEKN0301, ,€195.00,
17,tienda1baby-silkscreen-cotton-set-milk-white.html,Baby Silkscreen Cotton Set milk white,Description & Composition,"
                            This cotton rib set for baby features a message on the front. The elastic waist makes the pants easy to put on.
",S01ZSEKN1301, ,€60.00,
18,tienda1bloomer-en-coton-bio-bebe-blanc-lait.html,Baby Organic Cotton Bloomers milk white,Description & Composition,"
                            These charming Aki baby bloomers are made of lightweight cotton, making them perfect for hot summer days. They feature a fresh, elegant floral motif.
",S01ZBEWO0203, ,€40.00,
19,tienda1s01zbawo0102-1.html,Baby Quilted Poplin Bag natural white,Description & Composition,"
                            The Piou quilted bag for baby stuns children and adults alike with its subtle lightweight printed poplin. It is very practical thanks to its two exterior and six interior pockets.
",S01ZBAWO0102,,€195.00,
20,tienda1trousse-matelassee-bebe-blanc-naturel.html,Baby Quilted Case natural white,Description & Composition,"
                            The Cali quilted case for baby features a compartmentalized interior and a zip fastening adorned with a tassel. Made of printed organic cotton poplin, this piece makes an ideal baby shower gift.
",S01ZACWO1002, ,€65.00,
21,tienda1s01zbbkn0501-1.html,Baby Printed Poplin Bib natural white,Description & Composition,"
                            And ideal baby shower gift, the Piki baby bib is made of pretty organic cotton poplin. It features a discreet all-over print.
",S01ZBBKN0501,,€25.00,
22,tienda1s01zbawo0102-2.html,Baby Quilted Poplin Bag milk white,Description & Composition,"
                            The quilted poplin Piou bag holds all of baby's essentials with its six interior pockets. The adjustable handle is lined with herringbone cotton.
",S01ZBAWO0102,,€195.00,
23,tienda1baby-printed-quilted-case-milk-white.html,Baby Printed Quilted Case milk white,Description & Composition,"
                            This Cali quilted case protects baby's essentials with its printed quilted poplin. The zipper features a stunning matching pompom pull.
",S01ZACWO1002, ,€65.00,
24,tienda1s01zbbkn0501-2.html,Baby Printed Poplin Bib milk white,Description & Composition,"
                            This Piki lightweight poplin bib for baby features a tender print. The woven label is adorned with an iridescent cherry on the side.
",S01ZBBKN0501,,€25.00,
25,tienda1s01zacwo1202-1.html,Baby Liberty Fabric Pouch raspberry,Description & Composition,"
                            This pretty exclusive Liberty fabric pouch will hold all of baby's essentials. It is lined.
",S01ZACWO1202,,€40.00,
26,tienda1s01zacwo0802-1.html,Baby Liberty Fabric Case raspberry,Description & Composition,"
                            This case for baby features a cheerful style with its Liberty fabric in a color made exclusively for Bonpoint. The interior is quilted.
",S01ZACWO0802,,€45.00,
